2023-03-20 21:06:07,367 INFO    MainThread:2744284 [wandb_setup.py:_flush():68] Configure stats pid to 2744284
2023-03-20 21:06:07,368 INFO    MainThread:2744284 [wandb_setup.py:_flush():68] Loading settings from /home/dahn017/.config/wandb/settings
2023-03-20 21:06:07,368 INFO    MainThread:2744284 [wandb_setup.py:_flush():68] Loading settings from /home/dahn017/courses/cs260/CS260-MMA/src/wandb/settings
2023-03-20 21:06:07,368 INFO    MainThread:2744284 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-20 21:06:07,368 INFO    MainThread:2744284 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src/main.py', 'program': '/home/dahn017/courses/cs260/CS260-MMA/src/main.py'}
2023-03-20 21:06:07,368 INFO    MainThread:2744284 [wandb_init.py:_log_setup():476] Logging user logs to /home/dahn017/courses/cs260/CS260-MMA/src/wandb/run-20230320_210607-lada9hxf/logs/debug.log
2023-03-20 21:06:07,368 INFO    MainThread:2744284 [wandb_init.py:_log_setup():477] Logging internal logs to /home/dahn017/courses/cs260/CS260-MMA/src/wandb/run-20230320_210607-lada9hxf/logs/debug-internal.log
2023-03-20 21:06:07,368 INFO    MainThread:2744284 [wandb_init.py:init():516] calling init triggers
2023-03-20 21:06:07,368 INFO    MainThread:2744284 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'root_path': '/data/dahn017/KDD23', 'dataset': 'politifact', 'llm': 'clip', 'lvm': 'clip', 'fuse': 'concat', 'batch': 64, 'dropout': 0.8, 'act': 'ReLU', 'k': 2, 'output_dim': 256, 'clf': 'skl_logress', 'device': 'cuda:2'}
2023-03-20 21:06:07,368 INFO    MainThread:2744284 [wandb_init.py:init():569] starting backend
2023-03-20 21:06:07,368 INFO    MainThread:2744284 [wandb_init.py:init():573] setting up manager
2023-03-20 21:06:07,371 INFO    MainThread:2744284 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-20 21:06:07,372 INFO    MainThread:2744284 [wandb_init.py:init():580] backend started and connected
2023-03-20 21:06:07,374 INFO    MainThread:2744284 [wandb_init.py:init():658] updated telemetry
2023-03-20 21:06:07,394 INFO    MainThread:2744284 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-03-20 21:06:07,621 INFO    MainThread:2744284 [wandb_run.py:_on_init():2006] communicating current version
2023-03-20 21:06:07,667 INFO    MainThread:2744284 [wandb_run.py:_on_init():2010] got version response upgrade_message: "wandb version 0.14.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-20 21:06:07,667 INFO    MainThread:2744284 [wandb_init.py:init():728] starting run threads in backend
2023-03-20 21:06:12,677 INFO    MainThread:2744284 [wandb_run.py:_console_start():1986] atexit reg
2023-03-20 21:06:12,677 INFO    MainThread:2744284 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-03-20 21:06:12,677 INFO    MainThread:2744284 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-03-20 21:06:12,677 INFO    MainThread:2744284 [wandb_run.py:_redirect():1931] Redirects installed.
2023-03-20 21:06:12,678 INFO    MainThread:2744284 [wandb_init.py:init():765] run started, returning control to user process
